"PVWatts: Hourly PV Performance Data"
"Requested Location:","78249"
"Location:","SAN ANTONIO INTL AP, TX"
"Lat (deg N):","29.53"
"Long (deg W):","98.47"
"Elev (m):","247"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","16.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","8","3","0","0","3.9","1.5","0","3.9","0","0"
"1","8","4","0","0","3.9","2.1","0","3.9","0","0"
"1","8","5","0","0","4.4","2.1","0","4.4","0","0"
"1","8","6","0","0","5","0","0","5","0","0"
"1","8","7","64","16","3.9","2.1","32.259","2.852","107.227","82.987"
"1","8","8","96","79","7.2","2.1","124.623","8.663","445.341","414.224"
"1","8","9","402","137","10","2.1","387.42","18.944","1340.61","1286.579"
"1","8","10","97","236","12.8","4.6","319.861","18.644","1130.253","1082.221"
"1","8","11","11","262","13.3","5.2","273.308","17.716","972.221","928.447"
"1","8","12","29","309","13.9","4.6","339.328","19.945","1194.789","1144.956"
"1","8","13","3","226","13.9","5.7","227.235","17.259","810.096","770.468"
"1","8","14","11","231","13.9","4.6","240.867","17.84","856.225","815.44"
"1","8","15","8","160","13.9","0","164.844","20.598","578.362","544.272"
"1","8","16","6","80","9.4","3.1","81.421","10.029","299.008","270.987"
"1","8","17","0","32","9.4","3.6","33.116","8.651","122.672","98.139"
"1","8","18","0","0","8.9","2.6","0","8.9","0","0"
"1","8","19","0","0","7.2","3.6","0","7.2","0","0"
"1","8","20","0","0","7.2","2.6","0","7.2","0","0"
"1","8","21","0","0","8.9","2.6","0","8.9","0","0"
"1","8","22","0","0","9.4","2.1","0","9.4","0","0"
"1","8","23","0","0","8.9","3.1","0","8.9","0","0"
"1","9","0","0","0","8.9","2.1","0","8.9","0","0"
"1","9","1","0","0","8.9","2.6","0","8.9","0","0"
"1","9","2","0","0","8.9","2.1","0","8.9","0","0"
"1","9","3","0","0","8.9","2.6","0","8.9","0","0"
"1","9","4","0","0","9.4","2.6","0","9.4","0","0"
"1","9","5","0","0","9.4","0","0","9.4","0","0"
"1","9","6","0","0","9.4","2.6","0","9.4","0","0"
"1","9","7","0","15","9.4","2.6","14.238","7.931","52.909","29.683"
"1","9","8","1","80","9.4","3.1","83.197","9.665","306.655","278.476"
"1","9","9","13","174","11.1","3.1","185.889","14.074","671.3","635.044"
"1","9","10","20","208","11.7","2.6","223.128","16.107","799.031","759.678"
"1","9","11","9","290","13.3","3.1","302.556","19.454","1067.81","1021.485"
"1","9","12","55","192","13.9","2.6","243.777","19.179","861.105","820.196"
"1","9","13","480","209","16.1","2.1","650.27","32.188","2156.882","2076.009"
"1","9","14","195","238","16.1","4.1","407.84","24.854","1399.86","1344.073"
"1","9","15","127","154","16.1","4.1","245.927","20.835","855.79","815.016"
"1","9","16","192","97","15.6","5.2","196.678","18.456","673.36","637.056"
"1","9","17","9","41","14.4","4.1","47.601","14.323","170.012","144.569"
"1","9","18","0","0","13.3","6.2","0","13.3","0","0"
"1","9","19","0","0","13.3","4.6","0","13.3","0","0"
"1","9","20","0","0","13.3","5.7","0","13.3","0","0"
"1","9","21","0","0","12.2","4.1","0","12.2","0","0"
"1","9","22","0","0","12.2","3.6","0","12.2","0","0"
"1","9","23","0","0","12.2","3.1","0","12.2","0","0"
"1","10","0","0","0","11.7","2.1","0","11.7","0","0"
"1","10","1","0","0","11.7","2.6","0","11.7","0","0"
"1","10","2","0","0","11.7","3.1","0","11.7","0","0"
"1","10","3","0","0","11.7","2.1","0","11.7","0","0"
"1","10","4","0","0","11.1","2.1","0","11.1","0","0"
"1","10","5","0","0","11.1","2.1","0","11.1","0","0"
"1","10","6","0","0","10.6","2.1","0","10.6","0","0"
"1","10","7","0","14","11.1","3.1","13.273","9.763","48.929","25.776"
"1","10","8","9","78","11.7","3.1","83.576","12.002","303.553","275.439"
"1","10","9","10","143","12.2","4.1","149.054","14.085","538.282","505.104"
"1","10","10","12","225","12.8","3.6","236.096","16.951","842.53","802.09"
"1","10","11","9","300","13.3","4.6","313.589","18.744","1110.353","1062.868"
"1","10","12","8","346","13.3","5.2","362.598","19.418","1279.999","1227.736"
"1","10","13","2","310","13.9","5.2","317.921","19.245","1123.211","1075.372"
"1","10","14","4","243","13.9","3.6","248.488","18.733","879.892","838.506"
"1","10","15","0","193","13.3","4.6","196.2","16.354","702.356","665.36"
"1","10","16","1","123","13.3","5.2","128.06","14.731","461.662","430.188"
"1","10","17","0","42","12.8","3.6","46.704","12.529","170.079","144.635"
"1","10","18","0","0","11.7","2.1","0","11.7","0","0"
"1","10","19","0","0","12.2","1.5","0","12.2","0","0"
"1","10","20","0","0","11.7","2.6","0","11.7","0","0"
"1","10","21","0","0","11.1","3.1","0","11.1","0","0"
"1","10","22","0","0","11.1","2.1","0","11.1","0","0"
"1","10","23","0","0","10.6","1.5","0","10.6","0","0"
"1","11","0","0","0","10.6","0","0","10.6","0","0"
"1","11","1","0","0","10","2.1","0","10","0","0"
"1","11","2","0","0","9.4","2.1","0","9.4","0","0"
"1","11","3","0","0","9.4","2.6","0","9.4","0","0"
"1","11","4","0","0","9.4","2.6","0","9.4","0","0"
"1","11","5","0","0","9.4","1.5","0","9.4","0","0"
"1","11","6","0","0","9.4","2.1","0","9.4","0","0"
"1","11","7","0","17","9.4","2.1","16.452","7.932","61.135","37.757"
"1","11","8","29","61","10","3.1","73.587","10.043","266.021","238.672"
"1","11","9","6","115","10.6","3.6","116.339","11.79","424.589","393.923"
"1","11","10","10","206","12.2","1.5","213.669","16.883","762.759","724.299"
"1","11","11","6","259","13.3","2.1","265.628","19.272","938.283","895.395"
"1","11","12","13","255","14.4","4.1","266.181","19.261","940.265","897.325"
"1","11","13","4","264","14.4","5.7","268.69","18.416","952.856","909.588"
"1","11","14","1","274","14.4","5.7","280.547","18.636","993.929","949.582"
"1","11","15","2","211","13.9","5.7","217.636","17.002","776.706","737.904"
"1","11","16","38","95","13.3","6.2","115.886","14.384","413.78","383.346"
"1","11","17","27","43","12.8","4.6","57.798","12.748","204.386","178.269"
"1","11","18","0","0","11.7","4.1","0","11.7","0","0"
"1","11","19","0","0","10.6","6.2","0","10.6","0","0"
"1","11","20","0","0","9.4","4.6","0","9.4","0","0"
"1","11","21","0","0","9.4","3.1","0","9.4","0","0"
"1","11","22","0","0","8.3","3.1","0","8.3","0","0"
"1","11","23","0","0","8.3","2.6","0","8.3","0","0"
"1","12","0","0","0","8.3","3.6","0","8.3","0","0"
"1","12","1","0","0","7.2","6.2","0","7.2","0","0"
"1","12","2","0","0","6.7","6.2","0","6.7","0","0"
"1","12","3","0","0","6.1","4.1","0","6.1","0","0"
"1","12","4","0","0","5.6","4.6","0","5.6","0","0"
"1","12","5","0","0","4.4","6.2","0","4.4","0","0"
"1","12","6","0","0","3.9","4.1","0","3.9","0","0"
"1","12","7","3","5","3.9","5.7","5.376","2.728","19.712","0"
"1","12","8","2","51","3.9","6.2","50.128","3.497","189.519","163.695"
